;29485,29490,29495,29500,29505,29510,29515,29520,29526,29531,29536,29541,29546,29551,29556,29561,29566,29571,29576,29581,29586,29591,29596,29601,29606,29611,29616,29621,29626,29631;-24.12,-24.12,-23.63,-23.63,-24.12,-24.12,-24.12,-24.12,-24.12,-24.12,-24.12,-24.12,-24.12,-24.12,-24.12,-23.63,-24.12,-24.12,-24.12,-24.12,-23.63,-24.12,-24.12,-23.63,-24.12,-24.12,-24.12,-24.12,-24.12,-24.12;-26.56,-26.56,-26.56,-26.56,-26.56,-26.56,-26.56,-26.56,-26.56,-26.56,-26.56,-26.56,-26.56,-26.56,-26.56,-26.56,-27.20,-27.20,-27.20,-27.20,-27.20,-27.20,-27.20,-27.20,-27.20,-27.20,-27.20,-27.20,-27.20,-27.20
;30176,30181,30186,30191,30196,30201,30206,30211,30216,30221,30226,30231,30236,30241,30246,30100,30105,30110,30115,30120,30125,30130,30135,30140,30145,30150,30155,30160,30166,30171;-23.63,-23.14,-24.61,-23.63,-24.12,-22.66,-24.12,-20.70,-24.12,-24.12,-24.12,-24.12,-24.12,-24.12,-24.12,-24.12,-24.12,-24.12,-24.61,-24.12,-24.61,-24.12,-24.61,-24.12,-24.12,-23.63,-23.63,-20.70,-24.61,-26.07;-26.78,-26.78,-26.78,-26.78,-26.78,-26.18,-26.18,-26.18,-26.18,-26.18,-26.18,-26.18,-26.18,-26.18,-26.18,-26.78,-26.78,-26.78,-26.78,-26.78,-26.78,-26.78,-26.78,-26.78,-26.78,-26.78,-26.78,-26.78,-26.78,-26.78
;30565,30570,30575,30580,30585,30590,30595,30600,30605,30610,30615,30620,30625,30630,30635,30640,30645,30650,30655,30660,30665,30670,30524,30529,30534,30539,30544,30550,30555,30560;-24.12,-24.12,-24.12,-24.12,-24.12,-23.63,-23.63,-23.63,-24.12,-24.12,-24.12,-24.12,-24.12,-23.63,-24.12,-24.12,-24.12,-24.12,-23.63,-23.63,-23.63,-24.12,-23.63,-23.63,-23.63,-23.63,-23.63,-23.63,-23.63,-23.63;-26.88,-26.88,-26.88,-26.88,-26.88,-26.88,-26.88,-26.88,-26.88,-26.88,-26.88,-26.88,-26.88,-26.88,-26.88,-26.88,-26.88,-26.88,-26.88,-26.88,-26.88,-26.88,-26.88,-26.88,-26.88,-26.88,-26.88,-26.88,-26.88,-26.88
;32309,32314,32319,32324,32329,32334,32339,32344,32349,32354,32359,32364,32369,32374,32379,32384,32389,32244,32249,32254,32259,32264,32269,32274,32279,32284,32289,32294,32299,32304;-24.12,-24.61,-24.12,-24.12,-24.12,-24.12,-24.12,-24.12,-24.12,-24.12,-24.12,-24.12,-24.12,-24.12,-24.12,-24.12,-24.12,-24.12,-24.12,-24.12,-24.12,-24.12,-24.12,-24.12,-24.12,-24.12,-24.12,-24.12,-24.12,-24.12;-26.04,-26.04,-26.04,-26.04,-26.04,-26.04,-26.04,-26.04,-26.04,-26.04,-26.04,-26.04,-26.04,-26.04,-26.04,-26.04,-26.04,-26.46,-26.46,-26.46,-26.04,-26.04,-26.04,-26.04,-26.04,-26.04,-26.04,-26.04,-26.04,-26.04
*;35710,35715,35720,35725,35730,35735,35740,35745,35750,35755,35760,35765,35770,35775,35780,35785,35790,35795,35800,35654,35659,35664,35670,35675,35680,35685,35690,35695,35700,35705;-24.61,-24.61,-24.61,-24.61,-24.61,-24.61,-24.61,-24.61,-24.61,-24.61,-24.61,-24.61,-24.61,-24.61,-24.61,-24.61,-24.61,-24.61,-25.10,-24.61,-24.61,-24.61,-24.61,-24.61,-24.61,-24.61,-24.61,-24.61,-24.61,-24.61;-26.04,-26.04,-26.04,-26.04,-26.04,-26.04,-26.04,-25.82,-25.82,-25.82,-25.82,-25.82,-25.82,-25.82,-25.82,-25.82,-25.82,-25.82,-25.82,-26.04,-26.04,-26.04,-26.04,-26.04,-26.04,-26.04,-26.04,-26.04,-26.04,-26.04
;36099,36104,36109,36114,36119,36124,36129,36134,36139,36144,36149,36154,36159,36164,36169,36174,36179,36184,36189,36194,36199,36204,36059,36064,36069,36074,36079,36084,36089,36094;-25.10,-24.61,-24.61,-25.10,-24.61,-24.61,-25.10,-24.61,-24.61,-25.10,-24.61,-25.10,-24.61,-25.10,-24.61,-25.10,-24.61,-25.10,-24.61,-24.61,-25.10,-24.12,-24.61,-24.61,-24.61,-24.61,-24.61,-24.61,-25.10,-24.61;-26.04,-26.04,-26.04,-26.04,-26.04,-26.04,-26.04,-26.04,-26.04,-26.04,-26.04,-26.04,-26.04,-26.04,-26.04,-26.04,-26.04,-26.04,-26.04,-26.04,-26.04,-26.04,-26.04,-26.04,-26.04,-26.04,-26.04,-26.04,-26.04,-26.04
;36789,36794,36799,36804,36809,36814,36819,36824,36829,36834,36839,36844,36849,36854,36859,36864,36719,36724,36729,36734,36739,36744,36749,36754,36759,36764,36769,36774,36779,36784;-24.61,-24.61,-24.61,-24.61,-24.12,-24.12,-24.61,-24.61,-24.61,-24.61,-24.12,-24.12,-24.12,-24.61,-24.61,-24.61,-24.61,-24.61,-24.61,-24.61,-24.61,-24.12,-24.12,-24.61,-24.61,-24.61,-24.12,-24.61,-24.61,-24.61;-26.04,-26.04,-26.04,-26.04,-26.04,-26.04,-26.04,-26.04,-26.04,-26.04,-26.04,-26.04,-26.04,-25.98,-25.98,-25.98,-26.04,-26.04,-26.04,-26.04,-26.04,-26.04,-26.04,-26.04,-26.04,-26.04,-26.04,-26.04,-26.04,-26.04
;37178,37183,37188,37193,37198,37203,37208,37213,37218,37223,37228,37233,37238,37243,37248,37253,37258,37263,37268,37273,37278,37283,37288,37293,37298,37303,37308,37313,37168,37173;-24.61,-24.61,-25.10,-25.10,-24.61,-24.61,-25.10,-24.61,-24.61,-24.61,-24.61,-25.10,-24.61,-24.61,-24.61,-25.10,-24.61,-24.61,-24.61,-24.61,-25.10,-24.61,-24.61,-24.61,-24.61,-24.61,-24.61,-24.61,-24.61,-24.61;-25.66,-25.66,-25.66,-25.66,-25.66,-25.66,-25.66,-25.66,-25.66,-25.66,-25.66,-25.66,-25.66,-25.66,-25.66,-25.66,-25.66,-25.66,-25.66,-25.66,-25.66,-25.66,-25.66,-25.66,-25.66,-25.66,-25.66,-25.66,-25.66,-25.66
;37565,37570,37575,37580,37585,37590,37595,37600,37605,37460,37465,37470,37475,37480,37485,37490,37495,37500,37505,37510,37515,37520,37525,37530,37535,37540,37545,37550,37555,37560;-24.61,-24.61,-24.61,-24.61,-24.61,-24.61,-24.61,-24.61,-24.61,-24.12,-24.61,-26.07,-24.61,-23.63,-22.66,-24.12,-25.59,-24.12,-24.61,-23.63,-24.12,-24.12,-24.12,-24.12,-24.61,-24.61,-24.61,-24.12,-24.12,-24.61;-26.94,-26.94,-26.94,-26.94,-26.94,-26.94,-26.94,-26.94,-26.94,-25.72,-25.72,-25.72,-25.72,-25.72,-26.94,-26.94,-26.94,-26.94,-26.94,-26.94,-26.94,-26.94,-26.94,-26.94,-26.94,-26.94,-26.94,-26.94,-26.94,-26.94
;38104,38109,38114,38119,38124,38129,38134,38139,38144,38149,38154,38159,38014,38019,38024,38029,38034,38039,38044,38049,38054,38059,38064,38069,38074,38079,38084,38089,38094,38099;-24.61,-25.59,-22.66,-24.61,-24.61,-24.61,-24.61,-24.61,-24.61,-24.61,-24.61,-24.61,-24.61,-25.10,-24.61,-24.61,-24.61,-25.10,-24.61,-24.61,-25.10,-24.61,-24.61,-25.10,-24.61,-24.61,-25.10,-24.61,-25.10,-24.61;-27.08,-27.08,-27.08,-26.78,-26.78,-26.78,-26.78,-26.78,-26.78,-26.78,-26.78,-26.78,-27.08,-27.08,-27.08,-27.08,-27.08,-27.08,-27.08,-27.08,-27.08,-27.08,-27.08,-27.08,-27.08,-27.08,-27.08,-27.08,-27.08,-27.08
