Whistler V2.0 (01-19-14)
,[42363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0],[15.43,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00],[18.64,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00]
,[44218,44223,44228,44082,44087,44092,44097,44102,44107,44112,44118,44123,44128,44133,44138,44143,44148,44153,44158,44163,44168,44173,44178,44183,44188,44193,44198,44203,44208,44213],[15.43,15.43,15.43,15.43,15.43,15.43,15.43,15.43,15.43,15.43,15.43,15.43,15.43,15.43,15.43,15.43,15.43,15.43,15.43,15.43,15.43,15.43,15.43,15.43,15.43,15.43,15.92,15.43,15.43,15.43],[17.42,17.42,17.42,17.68,17.68,17.68,17.68,17.68,17.68,17.68,17.68,17.68,17.68,17.68,17.68,17.68,17.68,17.68,17.68,17.68,17.68,17.68,17.68,17.68,17.68,17.68,17.68,17.42,17.42,17.42]
,[46103,46108,46113,46118,46123,46128,46133,46138,46143,46148,46153,46158,46163,46168,46173,46178,46183,46188,46193,46198,46203,46208,46213,46218,46223,46228,46083,46088,46093,46098],[15.43,15.43,15.43,15.43,15.43,15.43,15.92,15.43,15.43,15.43,15.43,15.43,15.43,15.43,15.43,15.43,15.43,15.43,15.43,15.43,15.43,15.43,15.43,15.43,15.43,15.43,15.43,15.43,15.43,15.92],[17.68,17.68,17.68,17.68,17.68,17.68,17.68,17.68,17.68,17.68,17.68,17.68,17.68,17.68,17.68,17.68,17.68,17.68,17.68,17.68,17.68,17.68,17.68,17.68,17.68,17.68,17.68,17.68,17.68,17.68]
,[47235,47089,47094,47099,47104,47109,47114,47119,47124,47129,47134,47139,47144,47149,47154,47159,47164,47169,47174,47179,47184,47190,47195,47200,47205,47210,47215,47220,47225,47230],[15.43,15.43,15.43,15.43,15.43,15.43,15.43,15.43,15.43,15.43,15.43,15.43,15.43,15.43,15.43,15.43,15.43,15.43,15.43,15.43,15.43,15.43,15.43,15.43,15.43,15.43,15.43,15.43,15.43,15.43],[17.78,17.40,17.40,17.40,17.40,17.40,17.40,17.40,17.40,17.40,17.40,17.40,17.40,17.40,17.78,17.78,17.78,17.78,17.78,17.78,17.78,17.78,17.78,17.78,17.78,17.78,17.78,17.78,17.78,17.78]
*,[49571,49576,49581,49586,49591,49596,49601,49606,49611,49616,49622,49476,49481,49486,49491,49496,49501,49506,49511,49516,49521,49526,49531,49536,49541,49546,49551,49556,49561,49566],[15.43,15.43,15.43,15.43,15.43,15.43,15.43,15.43,15.43,15.43,15.43,15.43,15.43,15.43,15.43,15.43,15.43,15.43,15.43,15.43,15.43,15.92,15.43,15.43,15.43,15.43,15.43,15.43,15.43,15.43],[17.78,17.78,17.78,17.78,17.78,17.78,17.78,17.78,17.78,17.78,17.78,17.88,17.88,17.88,17.88,17.88,17.88,17.88,17.78,17.78,17.78,17.78,17.78,17.78,17.78,17.78,17.78,17.78,17.78,17.78]
,[52059,52064,52069,52074,52079,52084,52089,52094,52099,52104,52109,52114,52119,52124,52129,52134,52139,52144,52149,52154,52159,52013,52018,52023,52028,52033,52038,52043,52048,52054],[15.43,15.43,15.43,15.43,15.43,15.92,15.43,15.43,15.43,15.43,15.43,15.43,15.43,15.92,15.43,15.43,15.43,15.92,15.43,15.92,15.92,15.43,15.43,15.43,15.43,15.43,15.92,15.43,15.43,15.43],[17.68,17.68,17.68,17.68,17.68,17.68,17.68,17.68,17.68,17.68,17.68,17.68,17.68,17.68,17.68,17.68,17.68,17.68,17.68,17.68,17.68,17.68,17.68,17.68,17.68,17.68,17.68,17.68,17.68,17.68]
,[52889,52894,52899,52904,52909,52914,52919,52924,52929,52934,52939,52944,52950,52955,52960,52965,52970,52975,52980,52985,52990,52995,53000,53005,52859,52864,52869,52874,52879,52884],[15.92,15.92,15.92,15.92,15.92,15.43,15.92,15.43,15.92,15.43,15.43,15.92,15.43,15.43,15.43,15.43,15.92,15.43,15.43,15.43,15.43,15.43,15.92,15.43,15.92,15.43,15.43,15.43,15.43,15.92],[17.88,17.88,17.88,17.84,17.84,17.84,17.84,17.84,17.84,17.84,17.84,17.84,17.84,17.84,17.84,17.84,17.84,17.84,17.84,17.84,17.84,17.84,17.84,17.84,17.88,17.88,17.88,17.88,17.88,17.88]
,[53871,53876,53881,53886,53891,53896,53901,53906,53911,53765,53770,53775,53780,53785,53790,53795,53800,53805,53810,53815,53820,53825,53830,53835,53840,53846,53851,53856,53861,53866],[15.43,15.43,15.43,15.92,15.43,15.43,15.43,15.92,15.43,15.43,15.43,15.43,15.43,15.43,15.43,15.43,15.43,15.43,15.43,15.43,15.43,15.92,15.92,15.92,15.92,15.43,15.43,15.43,15.92,15.43],[17.58,17.58,17.58,17.58,17.58,17.58,17.58,17.58,17.58,18.14,18.14,18.14,18.14,18.14,17.58,17.58,17.58,17.58,17.58,17.58,17.58,17.58,17.58,17.58,17.58,17.58,17.58,17.58,17.58,17.58]
,[54701,54706,54711,54716,54721,54726,54731,54736,54591,54596,54601,54606,54611,54616,54621,54626,54631,54636,54641,54646,54651,54656,54661,54666,54671,54676,54681,54686,54691,54696],[15.43,15.92,15.92,15.43,15.92,15.43,15.43,15.92,15.43,15.43,15.92,15.43,15.43,15.43,15.92,15.92,15.43,15.43,15.43,15.92,15.92,15.43,15.43,15.92,15.92,15.43,15.92,15.43,15.43,15.43],[17.46,17.46,17.46,17.46,17.46,17.46,17.46,17.46,17.84,17.84,17.84,17.84,17.84,17.84,17.84,17.84,17.84,17.84,17.84,17.84,17.84,17.84,17.84,17.84,17.46,17.46,17.46,17.46,17.46,17.46]
,[55984,55989,55994,55999,56004,56009,55863,55868,55873,55878,55883,55888,55894,55899,55904,55909,55914,55919,55924,55929,55934,55939,55944,55949,55954,55959,55964,55969,55974,55979],[15.92,15.92,15.92,15.43,15.43,15.92,15.43,15.43,15.43,15.43,15.92,15.92,15.43,15.43,15.43,15.43,15.43,15.43,15.43,15.43,15.43,15.43,15.92,15.43,15.43,15.92,15.43,15.43,15.43,15.92],[17.78,17.78,17.78,17.52,17.52,17.52,17.78,17.78,17.78,17.78,17.78,17.78,17.78,17.78,17.78,17.78,17.78,17.78,17.78,17.78,17.78,17.78,17.78,17.78,17.78,17.78,17.78,17.78,17.78,17.78]
