;8596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;-27.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00;-25.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
;11957,11962,11967,11972,11977,11831,11836,11841,11846,11851,11856,11862,11867,11872,11877,11882,11887,11892,11897,11902,11907,11912,11917,11922,11927,11932,11937,11942,11947,11952;-27.05,-27.05,-27.05,-27.05,-27.05,-27.05,-27.05,-27.05,-27.05,-27.54,-27.05,-27.05,-27.05,-27.05,-27.05,-27.05,-27.05,-27.05,-27.05,-27.54,-27.05,-27.05,-27.05,-27.05,-27.54,-27.05,-27.05,-27.05,-27.05,-27.05;-26.30,-26.30,-26.30,-26.30,-26.30,-26.08,-26.08,-26.08,-26.08,-26.08,-26.08,-26.30,-26.30,-26.30,-26.30,-26.30,-26.30,-26.30,-26.30,-26.30,-26.30,-26.30,-26.30,-26.30,-26.30,-26.30,-26.30,-26.30,-26.30,-26.30
*;13099,13104,13109,13114,13119,13124,13129,12983,12988,12993,12998,13003,13008,13014,13019,13024,13029,13034,13039,13044,13049,13054,13059,13064,13069,13074,13079,13084,13089,13094;-27.54,-27.54,-27.54,-27.54,-27.54,-27.54,-28.03,-27.54,-27.54,-27.54,-27.54,-27.54,-27.54,-27.54,-27.05,-27.54,-27.54,-27.54,-27.54,-27.54,-27.54,-27.54,-27.54,-27.54,-27.05,-27.54,-27.54,-27.54,-27.54,-27.54;-26.78,-26.78,-26.78,-26.78,-26.78,-26.78,-26.78,-26.78,-26.78,-26.78,-26.78,-26.78,-26.78,-26.78,-26.78,-26.78,-26.78,-26.78,-26.78,-26.78,-26.78,-26.78,-26.78,-26.78,-26.78,-26.78,-26.78,-26.78,-26.78,-26.78
;13337,13342,13347,13352,13357,13362,13367,13372,13377,13382,13387,13392,13398,13403,13408,13413,13418,13423,13428,13433,13438,13443,13448,13453,13458,13463,13468,13473,13478,13483;-28.03,-28.03,-27.54,-27.54,-28.03,-27.54,-27.05,-28.03,-27.54,-27.54,-27.54,-27.54,-27.54,-27.54,-28.03,-27.54,-28.03,-27.54,-27.54,-28.03,-27.54,-28.03,-27.54,-27.54,-28.03,-27.54,-27.54,-28.03,-27.54,-27.54;-26.72,-26.72,-26.72,-26.72,-26.72,-26.72,-26.72,-26.72,-26.72,-26.72,-26.72,-26.72,-26.72,-26.72,-26.72,-26.72,-26.72,-26.72,-26.72,-26.72,-26.72,-26.72,-27.08,-27.08,-27.08,-27.08,-27.08,-27.08,-27.08,-27.08
;14027,14032,14038,14043,14048,14053,14058,14063,13917,13922,13927,13932,13937,13942,13947,13952,13957,13962,13967,13972,13977,13982,13987,13992,13997,14002,14007,14012,14017,14022;-27.05,-27.05,-27.54,-27.05,-27.54,-27.54,-27.05,-27.54,-27.54,-27.05,-27.54,-27.54,-27.54,-27.05,-27.05,-27.54,-27.05,-27.05,-27.05,-27.05,-27.05,-27.54,-27.05,-27.05,-27.54,-27.54,-27.54,-27.05,-27.54,-27.54;-25.92,-25.92,-25.92,-25.92,-25.92,-25.92,-25.92,-25.92,-26.78,-26.78,-25.92,-25.92,-25.92,-25.92,-25.92,-25.92,-25.92,-25.92,-25.92,-25.92,-25.92,-25.92,-25.92,-25.92,-25.92,-25.92,-25.92,-25.92,-25.92,-25.92
;14416,14422,14427,14432,14286,14291,14296,14301,14306,14311,14316,14321,14326,14331,14336,14341,14346,14351,14356,14361,14366,14371,14376,14381,14386,14391,14396,14401,14406,14411;-27.54,-27.54,-27.54,-27.05,-28.03,-28.03,-28.03,-27.54,-27.54,-27.54,-27.54,-28.03,-28.03,-28.03,-27.54,-27.54,-27.54,-28.03,-27.54,-27.54,-27.54,-27.54,-27.54,-28.03,-27.54,-28.03,-27.54,-27.54,-27.54,-27.54;-26.50,-26.50,-26.50,-26.50,-26.24,-26.24,-26.24,-26.24,-26.24,-26.24,-26.24,-26.24,-26.24,-26.24,-26.24,-26.24,-26.24,-26.24,-26.24,-26.24,-26.24,-26.24,-26.24,-26.24,-26.24,-26.24,-26.24,-26.50,-26.50,-26.50
;14655,14660,14665,14670,14675,14680,14685,14690,14695,14700,14705,14710,14715,14720,14725,14580,14585,14590,14595,14600,14605,14610,14615,14620,14625,14630,14635,14640,14645,14650;-27.54,-27.05,-27.05,-27.54,-27.54,-27.05,-27.05,-27.05,-27.54,-27.05,-27.54,-27.05,-27.05,-27.54,-27.54,-27.54,-26.07,-27.05,-28.03,-28.03,-27.05,-26.56,-29.98,-28.03,-27.05,-27.05,-29.00,-26.56,-27.54,-28.03;-26.50,-26.50,-26.50,-26.50,-26.50,-26.50,-26.50,-26.50,-26.50,-26.50,-26.50,-26.50,-26.50,-27.24,-27.24,-26.50,-26.50,-26.50,-26.50,-26.50,-26.50,-26.50,-26.50,-26.50,-26.50,-26.50,-26.50,-26.50,-26.50,-26.50
;15195,15200,15205,15210,15215,15220,15225,15230,15084,15089,15094,15099,15104,15109,15114,15119,15124,15129,15134,15139,15144,15149,15154,15159,15164,15169,15174,15179,15184,15190;-27.54,-27.54,-27.54,-28.03,-27.54,-28.03,-27.05,-27.54,-27.54,-27.54,-28.03,-27.54,-27.54,-28.03,-27.54,-28.03,-27.54,-28.03,-27.54,-27.54,-27.54,-27.54,-27.54,-27.54,-27.54,-27.54,-27.54,-28.03,-27.54,-27.54;-26.78,-26.78,-26.78,-26.78,-26.78,-26.78,-26.78,-26.78,-27.68,-27.68,-27.68,-27.68,-27.68,-27.68,-27.68,-27.68,-27.68,-27.68,-27.68,-27.68,-27.68,-27.68,-27.68,-27.68,-27.68,-27.68,-27.68,-27.68,-27.68,-27.68
;15433,15438,15443,15448,15453,15458,15463,15468,15473,15478,15483,15488,15493,15498,15503,15508,15513,15518,15523,15528,15533,15538,15543,15398,15403,15408,15413,15418,15423,15428;-27.54,-27.54,-27.54,-27.05,-27.05,-27.05,-27.05,-27.54,-27.05,-27.54,-27.54,-28.03,-27.54,-27.54,-27.54,-27.05,-27.05,-27.05,-27.05,-27.05,-27.54,-27.54,-28.03,-27.05,-27.54,-27.54,-27.05,-27.05,-27.05,-27.05;-26.14,-26.14,-26.14,-26.14,-26.14,-26.14,-26.14,-26.14,-26.14,-26.14,-26.14,-26.14,-26.14,-26.14,-26.14,-26.14,-26.46,-26.46,-26.46,-26.46,-26.46,-26.46,-26.46,-26.14,-26.14,-26.14,-26.14,-26.14,-26.14,-26.14
;16121,16126,15980,15985,15990,15995,16000,16005,16010,16015,16020,16025,16030,16035,16040,16045,16050,16055,16060,16065,16070,16075,16080,16086,16091,16096,16101,16106,16111,16116;-27.54,-27.54,-27.54,-27.54,-27.54,-27.54,-27.54,-27.54,-27.54,-27.54,-27.54,-27.54,-27.54,-27.54,-27.54,-27.54,-27.54,-27.54,-27.54,-27.54,-27.54,-27.54,-27.54,-27.54,-27.54,-27.54,-27.54,-27.54,-27.54,-27.54;-27.68,-27.68,-27.04,-27.04,-27.68,-27.68,-27.68,-27.68,-27.68,-27.68,-27.68,-27.68,-27.68,-27.68,-27.68,-27.68,-27.68,-27.68,-27.68,-27.68,-27.68,-27.68,-27.68,-27.68,-27.68,-27.68,-27.68,-27.68,-27.68,-27.68
